"flightdate","month","dayofmonth","arrdelay","depdelay","distance","taxiin","taxiout","carrierdelay","weatherdelay","nasdelay","securitydelay","lateaircraftdelay"
"2008-12-31",12,31,"211239","186654","3120750","29102","83663","63361","15859","48093","337","83589"
"2008-12-30",12,30,"208733","191278","3076830","30718","82673","62184","11403","54561","423","80162"
"2008-12-29",12,29,"133647","132590","2162967","21050","50493","59673","2941","17315","435","53283"
"2008-12-28",12,28,"264546","256653","3427921","38685","93793","98948","11718","46967","311","106602"
"2008-12-27",12,27,"592702","530518","5822953","65902","177686","155183","42806","131515","361","262837"
"2008-12-26",12,26,"565116","498050","5213616","67035","170051","119023","39784","136647","453","269209"
"2008-12-25",12,25,"193354","168508","2862113","31526","71433","65673","11766","45217","74","70624"
"2008-12-24",12,24,"515397","461946","5399203","61968","150234","128826","32800","130602","595","222574"
"2008-12-23",12,23,"689233","597566","6486411","84487","214106","148057","52476","177166","1254","310280"
"2008-12-22",12,22,"546641","519147","6488388","75142","165956","176879","38410","87206","1559","242587"
"2008-12-21",12,21,"671927","594101","6841963","89047","201655","163371","68841","154551","413","284751"
"2008-12-20",12,20,"591380","499098","6315364","72325","198732","149684","57242","160153","1221","223080"
"2008-12-19",12,19,"716421","621271","6597074","80634","202646","135872","74400","191569","629","313951"
"2008-12-18",12,18,"475387","423626","5919044","62779","149747","109973","53941","93985","525","216963"
"2008-12-17",12,17,"434109","365070","5847907","61447","174961","105974","27025","119936","237","180937"
"2008-12-16",12,16,"442197","314071","5355076","67789","204517","79582","40908","171124","197","150386"
"2008-12-15",12,15,"391010","326167","5163353","52849","152686","79813","26844","148133","121","136099"
"2008-12-14",12,14,"231706","181761","3494551","33642","111889","53887","9187","84451","197","83984"
"2008-12-13",12,13,"103010","80533","1867898","17410","55114","31541","6141","31016","91","34221"
"2008-12-12",12,12,"184329","158739","2955029","29913","91698","54164","6767","61011","127","62260"
"2008-12-11",12,11,"279159","235780","3659086","39916","112361","65150","19234","101875","197","92703"
"2008-12-10",12,10,"331116","261401","3683622","45874","141832","60004","17643","139799","191","113479"
"2008-12-09",12,9,"227913","147865","3054215","34511","115146","42726","13568","105888","65","65666"
"2008-12-08",12,8,"125954","90257","2017640","22477","75084","34576","6949","46396","256","37777"
"2008-12-07",12,7,"165953","135331","2608688","26953","84669","42265","5460","63698","117","54413"
"2008-12-06",12,6,"93018","64459","1559263","18373","62000","28275","4725","32920","494","26604"
"2008-12-05",12,5,"108935","85968","2074275","20976","57365","39912","2653","29701","97","36572"
"2008-12-04",12,4,"160901","120993","2800875","28225","88677","41197","3655","57055","253","58741"
"2008-12-03",12,3,"126665","95576","2269869","26018","73590","36825","5499","42744","98","41499"
"2008-12-02",12,2,"132958","116628","2445662","26407","67127","50514","1667","33957","208","46612"
"2008-12-01",12,1,"635010","566022","6444573","77707","191478","117898","35647","164145","645","316675"
"2008-11-30",11,30,"737971","608737","6792017","78619","247968","107060","36956","269452","430","324073"
"2008-11-29",11,29,"163663","124312","2552683","28656","78103","45061","3922","55039","273","59368"
"2008-11-28",11,28,"42313","36144","896764","7619","19602","19789","2020","10598","76","9830"
"2008-11-27",11,27,"40559","35143","738075","7705","17468","16360","1546","11822","87","10744"
"2008-11-26",11,26,"85893","75736","1552573","15409","44801","29951","1500","22206","42","32194"
"2008-11-25",11,25,"100992","83625","1775611","19161","55524","34458","2900","33676","46","29912"
"2008-11-24",11,24,"90276","72776","1582508","17217","50331","34884","1696","24658","24","29014"
"2008-11-23",11,23,"63748","59032","1152834","11829","28357","29194","2066","11522","129","20837"
"2008-11-22",11,22,"100794","93711","1655088","15492","40277","33796","4661","22382","99","39856"
