"uniquecarrier","airline","serialno","year","totalflights","number_of_delays","delaypercentage"
"WN","Southwest Airlines Co.","1388",2008,"1186911","210732","17"
"WN","Southwest Airlines Co.","1388",2007,"1156958","210575","18"
"WN","Southwest Airlines Co.","1388",2006,"1088617","195116","17"
"WN","Southwest Airlines Co.","1388",2005,"1025637","174936","17"
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)","1308",1990,"989389","167587","16"
"WN","Southwest Airlines Co.","1388",2004,"978520","172253","17"
"WN","Southwest Airlines Co.","1388",2003,"947231","111709","11"
"WN","Southwest Airlines Co.","1388",2002,"945219","144312","15"
"WN","Southwest Airlines Co.","1388",2001,"937764","146938","15"
"DL","Delta Air Lines Inc.","441",1992,"908576","170110","18"
"DL","Delta Air Lines Inc.","441",1997,"906452","209433","23"
"WN","Southwest Airlines Co.","1388",2000,"900800","206399","22"
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)","1308",1991,"898589","122828","13"
"DL","Delta Air Lines Inc.","441",1998,"896309","158165","17"
"DL","Delta Air Lines Inc.","441",1999,"890682","168035","18"
"DL","Delta Air Lines Inc.","441",1993,"889136","185188","20"
"DL","Delta Air Lines Inc.","441",2000,"874591","181896","20"
"DL","Delta Air Lines Inc.","441",1995,"870731","184682","21"
"DL","Delta Air Lines Inc.","441",1996,"869115","223463","25"
"DL","Delta Air Lines Inc.","441",1991,"867414","151443","17"
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)","1308",1992,"865657","149225","17"
"DL","Delta Air Lines Inc.","441",1994,"863429","148181","17"
"WN","Southwest Airlines Co.","1388",1999,"844561","154473","18"
"AA","American Airlines Inc.","100",2002,"841164","120857","14"
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)","1308",1994,"836234","148540","17"
"DL","Delta Air Lines Inc.","441",1990,"817181","168966","20"
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)","1308",1993,"817146","118397","14"
"WN","Southwest Airlines Co.","1388",1998,"804600","139684","17"
"DL","Delta Air Lines Inc.","441",2001,"800612","141469","17"
"WN","Southwest Airlines Co.","1388",1997,"784416","127455","16"
"DL","Delta Air Lines Inc.","441",1989,"778111","150979","19"
"AA","American Airlines Inc.","100",1993,"775631","131488","16"
"AA","American Airlines Inc.","100",1992,"775154","124079","16"
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)","1308",1995,"763618","133106","17"
"DL","Delta Air Lines Inc.","441",1988,"749141","118114","15"
"WN","Southwest Airlines Co.","1388",1996,"746527","122525","16"
"UA","United Air Lines Inc.","1297",1999,"745290","161743","21"
"AA","American Airlines Inc.","100",2003,"738567","118769","16"
"UA","United Air Lines Inc.","1297",2000,"730692","245540","33"
"UA","United Air Lines Inc.","1297",1998,"725986","166024","22"
"UA","United Air Lines Inc.","1297",1997,"725325","150909","20"
"DL","Delta Air Lines Inc.","441",2002,"719553","128680","17"
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)","1308",2000,"718119","169675","23"
"AA","American Airlines Inc.","100",1991,"718044","105812","14"
"UA","United Air Lines Inc.","1297",1996,"713384","162983","22"
"AA","American Airlines Inc.","100",1994,"712238","119390","16"
"AA","American Airlines Inc.","100",1989,"710772","127840","17"
"UA","United Air Lines Inc.","1297",1995,"709990","139689","19"
"AA","American Airlines Inc.","100",2000,"709969","162338","22"
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)","1308",1996,"706425","146619","20"
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)","1308",1997,"704520","120189","17"
"AA","American Airlines Inc.","100",1990,"702617","132425","18"
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)","1308",1989,"697933","183805","26"
"AA","American Airlines Inc.","100",1988,"686320","101413","14"
"AA","American Airlines Inc.","100",2004,"684502","143129","20"
"WN","Southwest Airlines Co.","1388",1995,"683725","108794","15"
"AA","American Airlines Inc.","100",2001,"682859","133076","19"
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)","1308",1999,"680022","162484","23"
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)","1308",1998,"677095","121743","17"
"DL","Delta Air Lines Inc.","441",2004,"675724","144544","21"
