"iata","name","state","country","latitude","longitude","totalflights","numberofdelays","delaypercentage"
"ABE","Lehigh Valley International","PA","USA","40.65236278","-75.44040167","4807","867","18"
"ABI","Abilene Regional","TX","USA","32.41132","-99.68189722","2660","293","11"
"ABQ","Albuquerque International","NM","USA","35.04022222","-106.6091944","41146","6703","16"
"ABY","Southwest Georgia Regional","GA","USA","31.535515","-84.19447333","1095","224","20"
"ACK","Nantucket Memorial","MA","USA","41.25305194","-70.06018139","457","157","34"
"ACT","Waco Regional","TX","USA","31.61128833","-97.23051917","1993","246","12"
"ACV","Arcata","CA","USA","40.97811528","-124.1086189","3714","888","23"
"ACY","Atlantic City International","NJ","USA","39.45758333","-74.57716667","116","14","12"
"ADK","Adak","AK","USA","51.87796389","-176.6460306","102","22","21"
"ADQ","Kodiak ","AK","USA","57.74996778","-152.4938553","706","120","16"
"AEX","Alexandria International","LA","USA","31.32737167","-92.54855611","2330","467","20"
"AGS","Bush ","GA","USA","33.369955","-81.96449611","2403","554","23"
"AKN","King Salmon","AK","USA","58.67680167","-156.6492175","116","53","45"
"ALB","Albany Cty","NY","USA","42.74811944","-73.80297861","13474","2729","20"
"ALO","Waterloo Municipal","IA","USA","42.55708139","-92.40034361","323","27","8"
"AMA","Amarillo International","TX","USA","35.2193725","-101.7059272","7496","1140","15"
"ANC","Ted Stevens Anchorage International","AK","USA","61.17432028","-149.9961856","19327","3332","17"
"ASE","Aspen-Pitkin Co/Sardy ","CO","USA","39.22316","-106.868845","5307","1226","23"
"ATL","William B Hartsfield-Atlanta Intl","GA","USA","33.64044444","-84.42694444","414513","100706","24"
"ATW","Outagamie County Regional","WI","USA","44.25740806","-88.51947556","5873","1194","20"
"AUS","Austin-Bergstrom International","TX","USA","30.19453278","-97.66987194","49623","8571","17"
"AVL","Asheville Regional","NC","USA","35.43619444","-82.54180556","4399","866","19"
"AVP","Wilkes-Barre/Scranton Intl","PA","USA","41.33814944","-75.7242675","2386","527","22"
"AZO","Kalamazoo County","MI","USA","42.234875","-85.5520575","3924","730","18"
"BDL","Bradley International","CT","USA","41.93887417","-72.68322833","29449","5663","19"
"BET","Bethel","AK","USA","60.77977639","-161.8379975","1035","201","19"
"BFL","Meadows ","CA","USA","35.43359806","-119.0567681","4502","529","11"
"BGM","Binghamton Regional","NY","USA","42.20848278","-75.97961361","728","108","14"
"BGR","Bangor International","ME","USA","44.80744444","-68.82813889","2879","745","25"
"BHM","Birmingham International","AL","USA","33.56294306","-86.75354972","23679","4622","19"
"BIL","Billings Logan Intl","MT","USA","45.8076625","-108.5428611","4505","450","9"
"BIS","Bismarck Municipal","ND","USA","46.77411111","-100.7467222","2293","338","14"
"BJI","Bemidji-Beltrami County","MN","USA","47.50942417","-94.93372333","74","6","8"
"BLI","Bellingham Intl","WA","USA","48.79275","-122.5375278","120","4","3"
"BMI","Central Illinois Regional","IL","USA","40.47798556","-88.91595278","4801","1082","22"
"BNA","Nashville International","TN","USA","36.12447667","-86.67818222","57539","11577","20"
"BOI","Boise Air Terminal","ID","USA","43.56444444","-116.2227778","17024","2542","14"
"BOS","Gen Edw L Logan Intl","MA","USA","42.3643475","-71.00517917","117915","27067","22"
"BPT","Southeast Texas Regional","TX","USA","29.95083333","-94.02069444","276","16","5"
"BQK","Glynco Jetport","GA","USA","31.25902778","-81.46630556","925","137","14"
"BQN","Rafael Hernandez","PR","USA","18.49486111","-67.12944444","1519","205","13"
"BRO","Brownsville/S.Padre Island International","TX","USA","25.90683333","-97.42586111","1464","212","14"
"BRW","Wiley Post Will Rogers Memorial","AK","USA","71.2854475","-156.7660019","728","221","30"
"BTM","Bert Mooney","MT","USA","45.95479528","-112.49746","708","49","6"
"BTR","Baton Rouge Metropolitan, Ryan ","LA","USA","30.53316083","-91.14963444","8941","1969","22"
"BTV","Burlington International","VT","USA","44.47300361","-73.1503125","7005","1748","24"
"BUF","Buffalo Niagara Intl","NY","USA","42.94052472","-78.73216667","26281","5446","20"
"BUR","Burbank-Glendale-Pasadena","CA","USA","34.20061917","-118.3584969","31405","4496","14"
"BWI","Baltimore-Washington International","MD","USA","39.17540167","-76.66819833","104074","20273","19"
"BZN","Gallatin ","MT","USA","45.77690139","-111.1530072","4659","772","16"
"CAE","Columbia Metropolitan","SC","USA","33.93884","-81.11953944","10550","2334","22"
"CAK","Akron-Canton Regional","OH","USA","40.91631194","-81.44246556","8994","1994","22"
"CDC","Cedar City Muni","UT","USA","37.70097028","-113.098575","668","66","9"
"CDV","Merle K (Mudhole) Smith","AK","USA","60.49183389","-145.4776503","725","163","22"
"CEC","Jack McNamara ","CA","USA","41.78015722","-124.2365333","1063","378","35"
"CHA","Lovell ","TN","USA","35.03526833","-85.20378778","4571","786","17"
"CHO","Charlottesville-Albermarle","VA","USA","38.13863889","-78.45286111","823","168","20"
"CHS","Charleston AFB/International","SC","USA","32.89864639","-80.04050583","14181","3102","21"
"CIC","Chico Municipal","CA","USA","39.79538278","-121.8584231","1392","331","23"
"CID","Eastern Iowa ","IA","USA","41.88458833","-91.71087222","9377","2045","21"
"CLD","MC Clellan-Palomar Airport","","USA","33.127231","-117.278727","2303","266","11"
"CLE","Cleveland-Hopkins Intl","OH","USA","41.41089417","-81.84939667","65795","13564","20"
"CLL","Easterwood ","TX","USA","30.58858944","-96.36382417","1367","183","13"
"CLT","Charlotte/Douglas International","NC","USA","35.21401111","-80.94312583","126045","28598","22"
"CMH","Port Columbus Intl","OH","USA","39.99798528","-82.89188278","34157","6739","19"
"CMI","University of Illinois-Willard","IL","USA","40.03925","-88.27805556","2774","625","22"
"CMX","Houghton County Memorial","MI","USA","47.16841722","-88.48906083","318","33","10"
"COD","Yellowstone Regional","WY","USA","44.52019417","-109.0237961","1188","80","6"
"COS","City of Colorado Springs Muni","CO","USA","38.80580556","-104.70025","16201","2862","17"
"CPR","Natrona County Intl","WY","USA","42.90835556","-106.4644661","2709","312","11"
"CRP","Corpus Christi International","TX","USA","27.77036083","-97.50121528","5270","759","14"
"CRW","Yeager","WV","USA","38.37315083","-81.59318972","3414","673","19"
"CSG","Columbus Metropolitan","GA","USA","32.51633333","-84.93886111","1481","280","18"
"CVG","Cincinnati Northern Kentucky Intl","KY","USA","39.04614278","-84.6621725","91265","20231","22"
