"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","1413","9885","337","23"
"ABE","CLE","1059","-3720","81","7"
"ABE","CLT","365","-2088","24","6"
"ABE","CVG","1228","-4014","150","12"
"ABE","DTW","322","-1814","18","5"
"ABE","ORD","207","-271","31","14"
"ABE","PHL","146","1052","30","20"
"ABI","DFW","2415","9489","283","11"
"ABI","IAH","331","-598","27","8"
"ABQ","AMA","672","2043","61","9"
"ABQ","ATL","1394","3337","211","15"
"ABQ","BWI","365","-3616","17","4"
"ABQ","CVG","800","-524","70","8"
"ABQ","DAL","2059","8993","329","15"
"ABQ","DEN","3049","9722","371","12"
"ABQ","DFW","2908","7226","339","11"
"ABQ","ELP","976","3063","112","11"
"ABQ","EWR","54","570","17","31"
"ABQ","HOU","731","1204","101","13"
"ABQ","IAH","2086","3101","199","9"
"ABQ","LAS","2280","17379","427","18"
"ABQ","LAX","1761","1430","187","10"
"ABQ","LBB","365","2676","62","16"
"ABQ","MAF","365","2543","70","19"
"ABQ","MCI","1041","2532","136","13"
"ABQ","MCO","728","-989","68","9"
"ABQ","MDW","580","891","62","10"
"ABQ","MSP","732","2050","96","13"
"ABQ","OAK","729","6","60","8"
"ABQ","ORD","1159","7152","212","18"
"ABQ","PDX","365","-143","45","12"
"ABQ","PHX","5712","30406","975","17"
"ABQ","SAN","1084","1499","123","11"
"ABQ","SEA","365","-56","45","12"
"ABQ","SFO","483","10819","193","39"
"ABQ","SLC","2645","4356","266","10"
"ABQ","STL","365","2834","98","26"
"ABQ","TPA","365","-2534","17","4"
"ABQ","TUS","719","6170","137","19"
"ABY","ATL","1390","9128","228","16"
"ACK","EWR","227","6413","82","36"
"ACT","DFW","2412","1331","178","7"
"ACT","IAH","533","-200","63","11"
"ACV","CEC","632","-377","69","10"
"ACV","MFR","2","254","2","100"
"ACV","RDD","1","176","1","100"
"ACV","SFO","2768","26270","569","20"
"ACV","SMF","638","-986","51","7"
"ACY","CVG","1033","-1180","110","10"
"ACY","JFK","2","314","2","100"
"ACY","LGA","2","61","1","50"
"ADK","AKN","102","1483","41","40"
"ADQ","ANC","665","8238","187","28"
"AEX","ATL","984","12213","241","24"
"AEX","DFW","59","147","9","15"
"AEX","IAH","1552","5482","240","15"
"AGS","ATL","2764","39360","746","26"
"AKN","ADK","102","324","24","23"
"AKN","ANC","246","4941","73","29"
"AKN","DLG","41","677","10","24"
"ALB","ATL","1971","1021","314","15"
"ALB","BDL","1","85","1","100"
"ALB","BOS","2","27","1","50"
"ALB","BWI","2405","14286","351","14"
"ALB","CLE","1176","14259","303","25"
"ALB","CLT","852","8050","219","25"
"ALB","CVG","1079","-6377","116","10"
"ALB","DCA","915","10319","211","23"
"ALB","DTW","1341","5008","175","13"
"ALB","EWR","1383","19781","344","24"
"ALB","IAD","1855","3155","303","16"
"ALB","LAS","365","-3710","27","7"
"ALB","MCO","1116","-574","142","12"
"ALB","MDW","360","-4626","16","4"
"ALB","ORD","2568","16110","542","21"
"ALB","PHL","955","1018","134","14"
"ALB","TPA","14","190","4","28"
"AMA","ABQ","674","1341","55","8"
"AMA","DAL","2634","7106","241","9"
"AMA","DFW","3031","11304","405","13"
"AMA","IAH","1541","8392","201","13"
"AMA","LAS","365","1181","36","9"
"ANC","ADQ","569","3685","120","21"
"ANC","AKN","287","3712","62","21"
"ANC","ATL","103","364","21","20"
"ANC","BET","1139","11148","257","22"
"ANC","CDV","363","7745","127","34"
"ANC","DEN","756","5097","172","22"
"ANC","DFW","90","2461","34","37"
"ANC","DLG","196","3137","71","36"
"ANC","DTW","103","777","26","25"
"ANC","FAI","3561","33711","864","24"
"ANC","IAH","208","2347","40","19"
"ANC","JNU","1190","16863","370","31"
"ANC","LAS","286","-59","47","16"
"ANC","LAX","249","2674","72","28"
"ANC","MSP","1035","5336","212","20"
"ANC","OGG","70","1130","29","41"
"ANC","OME","368","2657","73","19"
"ANC","ORD","760","9039","251","33"
"ANC","OTZ","726","8064","191","26"
"ANC","PDX","561","6475","159","28"
"ANC","PHX","389","2238","63","16"
"ANC","SCC","331","4463","67","20"
"ANC","SEA","6495","61084","1641","25"
"ANC","SFO","91","1325","35","38"
"ANC","SLC","841","1582","109","12"
"APF","ATL","1037","5057","217","20"
"ATL","ABE","1348","17582","361","26"
"ATL","ABQ","1390","12775","325","23"
"ATL","ABY","1314","11773","288","21"
"ATL","AEX","990","10374","245","24"
"ATL","AGS","2682","37835","763","28"
"ATL","ALB","1974","13941","366","18"
"ATL","ANC","103","1946","39","37"
"ATL","APF","997","8851","233","23"
"ATL","ATW","1025","16126","329","32"
"ATL","AUS","2628","26636","584","22"
"ATL","AVL","2319","31358","671","28"
"ATL","AVP","1344","18189","401","29"
"ATL","AZO","113","-51","23","20"
"ATL","BDL","3097","25277","598","19"
"ATL","BHM","3344","28529","678","20"
"ATL","BMI","1149","23316","379","32"
"ATL","BNA","3041","31245","680","22"
"ATL","BOI","213","3856","88","41"
"ATL","BOS","6075","93985","1757","28"
"ATL","BPT","301","960","55","18"
"ATL","BQK","1331","16330","361","27"
"ATL","BTR","2488","29594","632","25"
"ATL","BTV","62","716","19","30"
"ATL","BUF","3659","51589","991","27"
"ATL","BUR","332","10516","177","53"
"ATL","BWI","6923","85909","1703","24"
"ATL","CAE","3089","40417","834","26"
"ATL","CAK","3760","36594","880","23"
"ATL","CHA","2383","24929","548","22"
"ATL","CHO","1165","7486","229","19"
"ATL","CHS","3184","32028","677","21"
"ATL","CLE","3769","41843","854","22"
"ATL","CLT","5179","59079","1216","23"
"ATL","CMH","2490","19860","456","18"
"ATL","COS","729","5771","163","22"
"ATL","CRP","1007","10840","263","26"
