"origin","destination","count","total_arrival_delay_minutes","number_of_delays","delaypercentage"
"ABE","ATL","853","9643","183","21"
"ABE","CLE","805","672","87","10"
"ABE","CLT","465","-1333","53","11"
"ABE","CVG","247","-1092","16","6"
"ABE","DTW","997","5168","152","15"
"ABE","JFK","3","73","3","100"
"ABE","LGA","9","962","8","88"
"ABE","ORD","1425","21810","364","25"
"ABE","PHL","2","34","1","50"
"ABI","DFW","2660","13168","293","11"
"ABQ","AMA","368","4549","103","27"
"ABQ","ATL","1067","2029","129","12"
"ABQ","AUS","433","1364","69","15"
"ABQ","BWI","546","376","72","13"
"ABQ","CLE","12","-79","1","8"
"ABQ","CVG","260","3","32","12"
"ABQ","DAL","3078","12253","469","15"
"ABQ","DEN","4318","10932","596","13"
"ABQ","DFW","2888","17734","458","15"
"ABQ","ELP","799","7255","154","19"
"ABQ","EWR","167","-260","28","16"
"ABQ","HOU","1011","3462","158","15"
"ABQ","IAD","365","-1257","43","11"
"ABQ","IAH","2261","17042","381","16"
"ABQ","LAS","2402","15706","435","18"
"ABQ","LAX","2395","21885","568","23"
"ABQ","LBB","366","1305","55","15"
"ABQ","MAF","367","5286","111","30"
"ABQ","MCI","670","2038","109","16"
"ABQ","MCO","730","-1586","81","11"
"ABQ","MDW","730","-1014","66","9"
"ABQ","MSP","677","1216","93","13"
"ABQ","OAK","1016","2271","164","16"
"ABQ","OKC","229","1779","51","22"
"ABQ","ONT","446","2659","68","15"
"ABQ","ORD","751","9586","197","26"
"ABQ","PDX","366","4432","108","29"
"ABQ","PHX","5265","19625","828","15"
"ABQ","SAN","1034","5051","179","17"
"ABQ","SAT","424","1194","51","12"
"ABQ","SEA","721","4851","165","22"
"ABQ","SFO","530","69","61","11"
"ABQ","SLC","2307","2050","276","11"
"ABQ","SMF","466","3196","84","18"
"ABQ","STL","366","-3136","16","4"
"ABQ","TPA","366","262","48","13"
"ABQ","TUL","230","76","30","13"
"ABQ","TUS","719","7538","166","23"
"ABY","ATL","1095","12741","224","20"
"ACK","EWR","234","5828","82","35"
"ACK","JFK","223","6157","75","33"
"ACT","DFW","1993","5921","246","12"
"ACV","CEC","362","661","42","11"
"ACV","SFO","2343","50782","734","31"
"ACV","SLC","388","-130","26","6"
"ACV","SMF","618","1730","86","13"
"ACY","ATL","113","541","12","10"
"ACY","LGA","2","60","2","100"
"ADK","ANC","102","417","22","21"
"ADQ","ANC","706","2448","120","16"
