"flightmonth","dayfrom","dayto","number_of_delays","flightdate"
"january","1","2","4653","2008-01-02"
"january","2","3","8814","2008-01-03"
"january","4","5","9730","2008-01-05"
"january","6","7","4010","2008-01-07"
"january","7","8","4332","2008-01-08"
"january","8","9","4992","2008-01-09"
"january","9","10","4810","2008-01-10"
"january","14","15","3231","2008-01-15"
"january","15","16","14809","2008-01-16"
"january","18","19","4391","2008-01-19"
"january","19","20","6493","2008-01-20"
"january","20","21","8369","2008-01-21"
"january","21","22","5264","2008-01-22"
"january","22","23","6606","2008-01-23"
"january","24","25","17700","2008-01-25"
"january","25","26","9292","2008-01-26"
"january","26","27","15174","2008-01-27"
"january","28","29","4371","2008-01-29"
"january","29","30","5225","2008-01-30"
"january","30","31","5116","2008-01-31"
"february","1","2","9690","2008-02-02"
"february","3","4","6296","2008-02-04"
"february","4","5","11917","2008-02-05"
"february","5","6","11943","2008-02-06"
"february","6","7","4380","2008-02-07"
"february","9","10","9269","2008-02-10"
"february","11","12","7650","2008-02-12"
"february","12","13","4574","2008-02-13"
"february","13","14","3356","2008-02-14"
"february","14","15","5747","2008-02-15"
"february","15","16","9136","2008-02-16"
"february","16","17","5755","2008-02-17"
"february","17","18","6371","2008-02-18"
"february","18","19","11499","2008-02-19"
"february","20","21","5771","2008-02-21"
"february","21","22","4955","2008-02-22"
"february","22","23","4895","2008-02-23"
"february","23","24","5338","2008-02-24"
"february","24","25","3032","2008-02-25"
"february","25","26","9493","2008-02-26"
"february","27","28","6088","2008-02-28"
"march","1","2","8567","2008-03-02"
"march","2","3","15078","2008-03-03"
"march","3","4","4675","2008-03-04"
"march","4","5","5670","2008-03-05"
"march","6","7","10110","2008-03-07"
"march","7","8","4668","2008-03-08"
"march","8","9","8360","2008-03-09"
"march","9","10","9101","2008-03-10"
"march","10","11","5691","2008-03-11"
"march","15","16","5525","2008-03-16"
"march","17","18","8759","2008-03-18"
"march","20","21","9318","2008-03-21"
"march","21","22","7757","2008-03-22"
"march","22","23","11218","2008-03-23"
"march","23","24","6395","2008-03-24"
"march","24","25","5872","2008-03-25"
"march","26","27","4412","2008-03-27"
"march","27","28","16205","2008-03-28"
"march","30","31","5820","2008-03-31"
"april","0","1","4642","2008-04-01"
"april","1","2","7439","2008-04-02"
"april","2","3","4451","2008-04-03"
"april","3","4","3129","2008-04-04"
"april","4","5","2700","2008-04-05"
"april","5","6","4068","2008-04-06"
"april","6","7","4855","2008-04-07"
"april","7","8","4501","2008-04-08"
"april","8","9","7964","2008-04-09"
"april","9","10","2802","2008-04-10"
"april","11","12","6156","2008-04-12"
"april","13","14","7077","2008-04-14"
"april","14","15","9401","2008-04-15"
"april","16","17","3869","2008-04-17"
"april","17","18","2803","2008-04-18"
"april","18","19","4809","2008-04-19"
"april","23","24","2177","2008-04-24"
"april","24","25","9386","2008-04-25"
"april","25","26","4450","2008-04-26"
"april","26","27","5875","2008-04-27"
"april","27","28","2750","2008-04-28"
"april","28","29","3068","2008-04-29"
"april","29","30","7381","2008-04-30"
"may","0","1","2843","2008-05-01"
"may","1","2","3458","2008-05-02"
"may","2","3","6449","2008-05-03"
"may","4","5","11231","2008-05-05"
"may","5","6","3140","2008-05-06"
"may","8","9","4786","2008-05-09"
"may","11","12","6870","2008-05-12"
"may","12","13","3766","2008-05-13"
"may","13","14","13328","2008-05-14"
"may","14","15","7105","2008-05-15"
"may","16","17","2711","2008-05-17"
"may","17","18","10432","2008-05-18"
"may","19","20","5752","2008-05-20"
"may","23","24","2894","2008-05-24"
"may","24","25","6237","2008-05-25"
"may","25","26","5019","2008-05-26"
"may","27","28","10990","2008-05-28"
"may","29","30","3855","2008-05-30"
"may","30","31","3861","2008-05-31"
"june","2","3","5706","2008-06-03"
"june","3","4","14155","2008-06-04"
"june","4","5","17814","2008-06-05"
"june","6","7","7234","2008-06-07"
"june","7","8","11891","2008-06-08"
"june","8","9","12260","2008-06-09"
"june","9","10","13321","2008-06-10"
"june","11","12","4751","2008-06-12"
"june","15","16","7726","2008-06-16"
"june","16","17","3282","2008-06-17"
"june","17","18","7462","2008-06-18"
"june","18","19","4786","2008-06-19"
"june","19","20","9413","2008-06-20"
"june","21","22","14658","2008-06-22"
"june","26","27","3579","2008-06-27"
"june","27","28","11981","2008-06-28"
"june","28","29","9971","2008-06-29"
"july","0","1","5441","2008-07-01"
"july","2","3","9226","2008-07-03"
"july","6","7","8058","2008-07-07"
"july","8","9","5145","2008-07-09"
"july","9","10","4482","2008-07-10"
"july","12","13","5853","2008-07-13"
"july","13","14","8457","2008-07-14"
"july","15","16","2999","2008-07-16"
"july","16","17","10068","2008-07-17"
"july","18","19","6705","2008-07-19"
"july","20","21","10241","2008-07-21"
"july","21","22","10274","2008-07-22"
"july","22","23","9035","2008-07-23"
"july","24","25","11767","2008-07-25"
"july","27","28","4735","2008-07-28"
"july","28","29","4412","2008-07-29"
"july","29","30","10173","2008-07-30"
"july","30","31","7098","2008-07-31"
"august","0","1","6023","2008-08-01"
"august","4","5","15674","2008-08-05"
"august","8","9","4764","2008-08-09"
"august","9","10","11549","2008-08-10"
"august","10","11","3302","2008-08-11"
"august","12","13","8068","2008-08-13"
"august","13","14","7515","2008-08-14"
"august","14","15","4415","2008-08-15"
"august","15","16","4344","2008-08-16"
"august","17","18","3634","2008-08-18"
"august","18","19","4892","2008-08-19"
"august","20","21","3041","2008-08-21"
