"year","month","dayofmonth","totalflights","delaypercentage"
1987,10,1,"14766","19"
1987,10,2,"14748","16"
1987,10,3,"13537","12"
1987,10,4,"14111","13"
1987,10,5,"14870","10"
1987,10,6,"14901","16"
1987,10,7,"14805","18"
1987,10,8,"14829","18"
1987,10,9,"14782","20"
1987,10,10,"13421","13"
1987,10,11,"14020","16"
1987,10,12,"14795","16"
1987,10,13,"14865","16"
1987,10,14,"14806","16"
1987,10,15,"14854","18"
1987,10,16,"14829","21"
1987,10,17,"13551","13"
1987,10,18,"14050","17"
1987,10,19,"14742","17"
1987,10,20,"14744","19"
1987,10,21,"14703","18"
1987,10,22,"14716","22"
1987,10,23,"14605","22"
1987,10,24,"13419","12"
1987,10,25,"13945","18"
1987,10,26,"14836","13"
1987,10,27,"14704","20"
1987,10,28,"14762","20"
1987,10,29,"14801","19"
1987,10,30,"14775","15"
1987,10,31,"13328","12"
1987,11,1,"13770","20"
1987,11,2,"14751","12"
1987,11,3,"14791","14"
1987,11,4,"14824","15"
1987,11,5,"14758","23"
1987,11,6,"14669","20"
1987,11,7,"13395","8"
1987,11,8,"13823","22"
1987,11,9,"14631","17"
1987,11,10,"14575","28"
1987,11,11,"14778","22"
1987,11,12,"14759","20"
1987,11,13,"14682","17"
1987,11,14,"13386","9"
1987,11,15,"13813","25"
1987,11,16,"14442","30"
1987,11,17,"14488","35"
1987,11,18,"14528","21"
1987,11,19,"14591","20"
1987,11,20,"14590","26"
1987,11,21,"13327","14"
1987,11,22,"13973","7"
1987,11,23,"14694","11"
1987,11,24,"14587","24"
1987,11,25,"14633","34"
1987,11,26,"11506","17"
1987,11,27,"10696","7"
1987,11,28,"12659","16"
1987,11,29,"14145","32"
1987,11,30,"14539","36"
1987,12,1,"14596","27"
1987,12,2,"14619","18"
1987,12,3,"14617","25"
1987,12,4,"14685","28"
1987,12,5,"13387","12"
1987,12,6,"13857","20"
1987,12,7,"14642","18"
1987,12,8,"14641","17"
1987,12,9,"14651","20"
1987,12,10,"14618","23"
1987,12,11,"14741","23"
1987,12,12,"13396","16"
1987,12,13,"13845","23"
1987,12,14,"14451","25"
1987,12,15,"14343","40"
1987,12,16,"14238","38"
1987,12,17,"14442","33"
1987,12,18,"14515","32"
1987,12,19,"13387","45"
1987,12,20,"14027","27"
1987,12,21,"14819","25"
1987,12,22,"14704","32"
1987,12,23,"14634","39"
1987,12,24,"14130","40"
1987,12,25,"12596","23"
1987,12,26,"13177","27"
1987,12,27,"14069","30"
1987,12,28,"14499","45"
1987,12,29,"14299","49"
1987,12,30,"14254","34"
1987,12,31,"13524","22"
1988,1,1,"12807","14"
1988,1,2,"13336","24"
1988,1,3,"14049","42"
1988,1,4,"14352","47"
1988,1,5,"14136","40"
1988,1,6,"14113","33"
1988,1,7,"14358","27"
1988,1,8,"14152","34"
1988,1,9,"12756","33"
1988,1,10,"13529","30"
1988,1,11,"14542","22"
1988,1,12,"14574","25"
1988,1,13,"14589","23"
1988,1,14,"14561","16"
1988,1,15,"14655","15"
1988,1,16,"13185","13"
1988,1,17,"13618","26"
1988,1,18,"14366","42"
1988,1,19,"14493","38"
1988,1,20,"14421","33"
1988,1,21,"14443","26"
1988,1,22,"14688","16"
1988,1,23,"13154","15"
1988,1,24,"13959","14"
1988,1,25,"14610","30"
1988,1,26,"14506","18"
1988,1,27,"14602","14"
1988,1,28,"14541","12"
1988,1,29,"14698","13"
1988,1,30,"13282","11"
1988,1,31,"13875","18"
1988,2,1,"14395","28"
1988,2,2,"14432","30"
1988,2,3,"14326","35"
1988,2,4,"14332","31"
1988,2,5,"14286","35"
1988,2,6,"12928","15"
1988,2,7,"13664","14"
1988,2,8,"14456","16"
1988,2,9,"14559","15"
1988,2,10,"14404","31"
1988,2,11,"14499","36"
1988,2,12,"14232","43"
1988,2,13,"13002","22"
1988,2,14,"13553","13"
1988,2,15,"14420","23"
1988,2,16,"14606","17"
1988,2,17,"14753","14"
1988,2,18,"14516","22"
1988,2,19,"14435","34"
1988,2,20,"13098","21"
1988,2,21,"13898","18"
1988,2,22,"14694","19"
1988,2,23,"14650","15"
1988,2,24,"14754","15"
1988,2,25,"14800","13"
1988,2,26,"14782","10"
1988,2,27,"13248","11"
1988,2,28,"13990","9"
1988,2,29,"14867","9"
1988,3,1,"14725","9"
1988,3,2,"14633","19"
1988,3,3,"14507","24"
1988,3,4,"14576","36"
1988,3,5,"13161","14"
1988,3,6,"13968","12"
1988,3,7,"14736","14"
1988,3,8,"14742","14"
1988,3,9,"14599","19"
1988,3,10,"14556","26"
1988,3,11,"14633","20"
1988,3,12,"13153","19"
1988,3,13,"13722","20"
1988,3,14,"14683","17"
1988,3,15,"14629","12"
1988,3,16,"14670","13"
1988,3,17,"14552","20"
1988,3,18,"14565","22"
1988,3,19,"13263","13"
1988,3,20,"13862","14"
1988,3,21,"14683","9"
1988,3,22,"14734","10"
1988,3,23,"14613","15"
1988,3,24,"14427","29"
1988,3,25,"14572","27"
1988,3,26,"13202","21"
1988,3,27,"13936","13"
1988,3,28,"14775","21"
1988,3,29,"14648","21"
1988,3,30,"14794","16"
1988,3,31,"14761","25"
1988,4,1,"14650","19"
1988,4,2,"13204","16"
1988,4,3,"13959","15"
1988,4,4,"14720","15"
1988,4,5,"14829","13"
1988,4,6,"14636","24"
1988,4,7,"14719","22"
1988,4,8,"14659","13"
1988,4,9,"13356","9"
1988,4,10,"13964","11"
1988,4,11,"14672","17"
1988,4,12,"14800","12"
1988,4,13,"14638","9"
1988,4,14,"14564","12"
1988,4,15,"14587","16"
1988,4,16,"13151","11"
1988,4,17,"13761","20"
1988,4,18,"14429","17"
1988,4,19,"14376","17"
1988,4,20,"14407","14"
1988,4,21,"14379","17"
1988,4,22,"14403","20"
1988,4,23,"12951","19"
1988,4,24,"13742","13"
1988,4,25,"14528","13"
1988,4,26,"14494","10"
1988,4,27,"14512","16"
1988,4,28,"14566","11"
1988,4,29,"14551","13"
1988,4,30,"13118","7"
1988,5,1,"13670","11"
1988,5,2,"14388","13"
1988,5,3,"14426","8"
1988,5,4,"14485","12"
1988,5,5,"14406","19"
1988,5,6,"14512","22"
1988,5,7,"13163","9"
1988,5,8,"13726","15"
1988,5,9,"14466","18"
1988,5,10,"14518","15"
1988,5,11,"14533","14"
1988,5,12,"14538","10"
1988,5,13,"14591","11"
1988,5,14,"13149","7"
1988,5,15,"13767","15"
1988,5,16,"14434","26"
1988,5,17,"14474","23"
1988,5,18,"14468","23"
1988,5,19,"14409","28"
1988,5,20,"14398","26"
1988,5,21,"13156","11"
1988,5,22,"13739","18"
1988,5,23,"14468","23"
1988,5,24,"14457","25"
1988,5,25,"14506","19"
1988,5,26,"14563","13"
1988,5,27,"14618","12"
1988,5,28,"12499","6"
1988,5,29,"12344","4"
1988,5,30,"13919","7"
1988,5,31,"13126","13"
1988,6,1,"14557","14"
1988,6,2,"14578","22"
1988,6,3,"14651","14"
