"Origin","Dest","number_of_flights","total_arrival_delay_minutes","total_dep_delay_minutes","number_of_delays"
"ABE","ATL","722","4385","5321","147"
"ABE","CLT","366","1661","1027","61"
"ABE","DTW","805","2483","5134","78"
"ABE","MCO","732","2002","4098","92"
"ABE","MDT","821","4170","4622","124"
"ABE","ORD","1392","19901","18665","356"
"ABE","PIT","1464","8555","7090","232"
"ABQ","AMA","681","10631","11967","214"
"ABQ","ATL","1045","5315","8642","176"
"ABQ","BWI","22","-143","184","3"
"ABQ","CVG","719","680","4581","93"
"ABQ","DAL","2438","17704","25849","417"
"ABQ","DEN","2741","33313","29635","616"
"ABQ","DFW","2895","13270","12234","338"
"ABQ","ELP","1646","18765","20516","429"
"ABQ","EWR","44","-381","-12","5"
"ABQ","HOU","700","1348","4989","75"
"ABQ","IAH","1783","5273","4662","191"
"ABQ","LAS","2017","16783","21452","404"
"ABQ","LAX","2459","17908","30715","537"
"ABQ","LBB","691","4440","5648","107"
"ABQ","MAF","367","3215","3813","80"
"ABQ","MCI","1070","7159","12476","205"
"ABQ","MCO","366","-1385","1462","20"
"ABQ","MDW","50","31","578","10"
"ABQ","MSP","735","235","3805","110"
"ABQ","OAK","685","6961","10477","174"
"ABQ","ORD","713","9065","7775","169"
"ABQ","PHX","6911","75949","83225","1564"
"ABQ","SAN","1099","9028","14747","216"
"ABQ","SEA","366","-1491","1902","42"
"ABQ","SLC","1032","8921","10149","209"
"ABQ","STL","2440","17239","23739","459"
"ABQ","TPA","366","4299","6895","109"
"ABQ","TUS","366","4022","3933","87"
"ADQ","ANC","728","6259","6717","133"
"AGS","ATL","993","-1063","3445","94"
"AKN","ANC","203","1068","1469","37"
"AKN","DLG","121","1474","1496","27"
"ALB","ATL","1065","12233","12627","269"
"ALB","BWI","1583","20220","21644","372"
"ALB","CLT","366","1006","-11","50"
"ALB","CVG","1086","-1297","3321","104"
"ALB","DCA","1019","2773","2081","111"
"ALB","DTW","1710","1979","7604","229"
"ALB","LAS","239","-2309","1669","19"
"ALB","MCO","1150","-1659","4919","127"
"ALB","ORD","2178","23835","22789","516"
"ALB","PHL","1830","18227","15892","441"
"ALB","PIT","1457","9803","9067","251"
"AMA","ABQ","681","10336","10869","194"
"AMA","DAL","2654","22972","25740","432"
"AMA","DFW","1090","2138","2309","88"
"AMA","LAS","365","-1263","324","4"
"ANC","ADQ","728","6729","7554","155"
"ANC","AKN","324","3819","3966","64"
"ANC","ATL","122","-625","518","10"
"ANC","BET","1036","14491","14663","250"
"ANC","CDV","364","5133","6554","81"
"ANC","DLG","181","4194","4273","48"
"ANC","DTW","122","-597","117","13"
"ANC","DUT","662","6207","6829","130"
"ANC","FAI","3895","32919","35265","764"
"ANC","IAH","109","1163","2662","26"
"ANC","JNU","1169","14247","15793","271"
"ANC","LAX","333","3940","5691","90"
"ANC","MSP","1077","-3488","6721","135"
"ANC","OME","464","2394","3533","71"
"ANC","ORD","390","3367","4199","120"
"ANC","OTZ","630","10361","12215","181"
"ANC","PDX","727","8078","8963","199"
"ANC","PHX","97","1233","1319","26"
"ANC","SCC","364","3847","4079","74"
"ANC","SEA","6898","47685","74724","1297"
"ANC","SFO","126","1450","1882","36"
"ANC","SLC","848","-2970","322","62"
"ANC","STL","111","7","640","16"
"ATL","ABE","726","5885","5990","148"
"ATL","ABQ","1056","9910","13730","268"
"ATL","AGS","993","4997","5025","168"
"ATL","ALB","1090","15640","15980","293"
"ATL","ANC","122","963","1872","30"
"ATL","AUS","2052","18797","19169","480"
"ATL","BDL","2175","21107","25410","501"
"ATL","BHM","3257","23658","29821","613"
"ATL","BNA","3245","28476","28247","645"
"ATL","BOS","5788","85975","87577","1653"
"ATL","BTR","1088","10169","10379","241"
"ATL","BUF","1132","14884","14930","329"
"ATL","BWI","4567","37755","45653","936"
"ATL","CAE","2773","18714","19536","443"
"ATL","CHS","3204","26771","24137","628"
"ATL","CLE","2830","14786","17839","513"
"ATL","CLT","5586","41223","43077","1007"
"ATL","CMH","2543","23489","26252","541"
"ATL","COS","729","6386","9234","179"
"ATL","CVG","3973","30027","38585","764"
"ATL","DAB","1671","14859","18230","351"
"ATL","DAY","2198","16657","17042","419"
"ATL","DCA","5756","40236","44926","1017"
"ATL","DEN","4281","51808","54645","1175"
"ATL","DFW","9820","102490","101647","2126"
"ATL","DTW","5732","46398","54347","1131"
"ATL","EGE","96","369","711","17"
"ATL","ELP","365","2649","2668","76"
"ATL","EWR","8910","118881","135820","2243"
"ATL","FLL","3481","48661","56009","919"
"ATL","GSO","3241","31993","31540","688"
"ATL","GSP","2846","12801","19500","448"
"ATL","GUC","86","926","851","23"
"ATL","HNL","365","2918","7397","87"
"ATL","HOU","1656","13927","13053","372"
"ATL","HSV","3239","25351","26558","643"
"ATL","IAD","5628","49343","56887","1211"
"ATL","IAH","5399","50325","50531","1225"
"ATL","IND","2316","12035","17657","370"
"ATL","JAN","1746","12382","19990","341"
"ATL","JAX","3983","29037","35689","756"
"ATL","JFK","1205","15558","15393","308"
"ATL","LAS","2240","29162","30212","686"
"ATL","LAX","3625","55083","59925","1221"
"ATL","LEX","1089","10291","11220","249"
"ATL","LGA","7191","149499","127977","2544"
"ATL","LIT","1809","11899","17206","382"
"ATL","MCI","2902","20465","24626","544"
"ATL","MCO","5626","54584","71263","1255"
"ATL","MDT","722","9045","8251","177"
"ATL","MDW","907","10677","10496","223"
"ATL","MEM","4978","34930","39525","936"
"ATL","MGM","991","5240","7269","180"
"ATL","MIA","6214","75866","84317","1545"
"ATL","MKE","1414","12574","12711","299"
"ATL","MLB","1452","9559","12821","253"
"ATL","MLU","365","3472","3647","89"
"ATL","MOB","2887","20802","25268","553"
"ATL","MSP","4488","18599","34590","857"
"ATL","MSY","3291","26728","31285","675"
"ATL","OKC","1088","9189","12292","239"
"ATL","OMA","998","11234","12722","254"
"ATL","ONT","547","5110","7605","151"
"ATL","ORD","9919","172265","146298","3060"
"ATL","ORF","2802","11243","22141","482"
"ATL","PBI","2909","28682","36291","688"
"ATL","PDX","728","8197","16112","254"
"ATL","PHL","7579","101272","97383","1951"
"ATL","PHX","3917","40154","46824","1055"
"ATL","PIT","3924","38333","42279","860"
"ATL","PNS","2533","24172","22800","557"
"ATL","PVD","1462","9677","11883","253"
"ATL","PWM","727","6317","16914","153"
"ATL","RDU","3600","30840","38069","759"
"ATL","RIC","2526","11784","16962","407"
"ATL","ROC","1043","15650","15966","333"
"ATL","RSW","2950","22858","29794","614"
"ATL","SAN","1456","14816","16720","413"
"ATL","SAT","2375","19238","25014","544"
"ATL","SAV","3249","26874","29164","643"
"ATL","SDF","2541","22892","27605","539"
"ATL","SEA","1091","6811","13877","279"
"ATL","SFO","2911","40654","49893","915"
"ATL","SHV","1088","8108","8875","202"
"ATL","SJC","752","6540","8415","215"
"ATL","SJU","1746","15605","19692","392"
"ATL","SLC","3625","41194","40293","1030"
"ATL","SMF","576","5175","7848","148"
"ATL","SNA","1092","7486","8567","277"
"ATL","SRQ","2189","16474","23012","464"
"ATL","STL","4963","34477","37996","888"
"ATL","STT","528","2845","3995","81"
"ATL","SYR","755","10696","9749","215"
"ATL","TLH","2122","21381","23628","436"
"ATL","TPA","4293","33760","54698","890"
"ATL","TUL","1445","15972","15419","391"
"ATL","TYS","2519","22779","25541","573"
"AUS","ATL","2131","13001","16818","373"
"AUS","BNA","693","2464","4765","89"
"AUS","BWI","180","-1210","1224","10"
"AUS","CLE","166","-182","-214","6"
"AUS","CVG","453","2379","3763","62"
"AUS","DAL","4540","53477","55828","1022"
"AUS","DEN","1046","14427","12529","232"
"AUS","DFW","6145","45243","67305","771"
"AUS","ELP","1395","13919","16291","269"
"AUS","EWR","829","3649","9910","140"
"AUS","HOU","4625","39083","44022","817"
"AUS","HRL","366","2328","1966","38"
"AUS","IAD","366","8481","6897","145"
"AUS","IAH","3599","17384","15111","453"
"AUS","LAS","730","2088","4340","92"
"AUS","LAX","1043","5120","7924","175"
"AUS","LBB","721","6349","6858","133"
"AUS","MAF","670","6459","6770","130"
"AUS","MCO","366","7085","8788","146"
"AUS","MEM","1069","-4308","350","65"
"AUS","MFE","366","6325","5694","101"
"AUS","MSP","689","1106","2994","69"
"AUS","ORD","2909","37485","30412","762"
"AUS","PHX","3175","22118","23654","509"
"AUS","RDU","274","-2543","1789","20"
"AUS","SAN","274","-3136","971","4"
"AUS","SAT","366","1845","1413","42"
"AUS","SFO","366","4633","6612","88"
"AUS","SJC","974","9688","8663","218"
"AUS","SLC","395","1761","2333","54"
"AUS","STL","1399","7913","7586","198"
"AUS","TPA","366","4182","6030","95"
"AVL","CLT","1584","3241","33","154"
"AVP","PHL","366","804","702","27"
"AVP","PIT","1158","8778","5091","184"
"AZO","DTW","473","2123","1296","75"
"AZO","MSP","566","-506","1106","66"
"BDL","ATL","2174","25507","21972","618"
"BDL","BNA","660","-3383","4064","63"
"BDL","BWI","3305","20585","33181","483"
"BDL","CLE","587","1194","1522","80"
"BDL","CLT","1464","13815","10523","320"
"BDL","CMH","132","223","1572","19"
"BDL","CVG","1449","9739","10656","237"
"BDL","DCA","1328","9021","9613","240"
"BDL","DEN","366","3743","3452","109"
"BDL","DFW","1340","-2857","8699","175"
"BDL","DTW","1684","8993","5666","286"
"BDL","EWR","330","-751","-356","23"
"BDL","FLL","1098","3296","7969","197"
"BDL","IAD","2179","26793","26443","559"
"BDL","IAH","364","97","754","50"
"BDL","JFK","175","2396","166","49"
"BDL","LAS","246","2773","2917","80"
"BDL","LAX","199","202","1043","45"
"BDL","MCO","3215","23005","29464","666"
"BDL","MDW","720","3840","7207","119"
"BDL","MIA","366","-215","1841","39"
"BDL","MSP","1176","1456","2863","190"
"BDL","ORD","4153","58119","50350","1143"
"BDL","PBI","1098","10928","10402","268"
"BDL","PHL","2152","31431","22782","619"
"BDL","PHX","273","1991","2044","75"
"BDL","PIT","1798","12420","12490","316"
"BDL","PWM","303","3042","3027","62"
"BDL","SFO","365","4082","1943","128"
"BDL","SJU","366","-360","2060","52"
"BDL","STL","1455","14148","12252","304"
"BET","ANC","1036","14510","15501","243"
"BGM","PIT","796","9646","4675","184"
"BHM","ATL","3245","15891","25952","491"
"BHM","BNA","953","5870","6147","133"
"BHM","BTR","359","2215","2615","77"
"BHM","BWI","1056","9975","11200","211"
"BHM","CLT","1779","4528","3210","184"
"BHM","CVG","1049","-2828","2429","75"
"BHM","DFW","1096","8794","5880","136"
"BHM","DTW","679","-667","2931","73"
"BHM","HOU","794","5074","7258","125"
"BHM","IAH","672","933","1248","98"
"BHM","JAN","896","5359","4602","119"
"BHM","JAX","366","711","3772","44"
"BHM","LAS","22","296","196","9"
"BHM","MCO","366","2339","3189","51"
"BHM","MDW","695","9165","8787","177"
"BHM","MEM","851","234","565","58"
"BHM","MOB","179","514","41","12"
"BHM","MSY","2395","26619","30919","531"
"BHM","ORD","317","2575","3584","59"
"BHM","PHX","366","-2373","1222","35"
"BHM","SDF","673","5047","5877","97"
"BHM","STL","365","1340","1334","35"
"BHM","TPA","702","11591","12701","191"
"BIL","DEN","729","10599","9881","169"
"BIL","FCA","52","208","365","14"
"BIL","GTF","51","293","213","15"
"BIL","MSP","1105","-3007","1245","89"
"BIL","SLC","1089","4929","5547","145"
"BIS","MSP","1422","-4983","1411","111"
"BNA","ATL","3236","17001","20695","558"
"BNA","AUS","690","11218","13820","238"
"BNA","BDL","659","2529","6619","101"
"BNA","BHM","966","12200","13822","238"
"BNA","BWI","3017","24359","32940","603"
"BNA","CLE","1365","11324","13010","261"
"BNA","CLT","1830","7907","4194","236"
"BNA","CMH","671","1417","2706","52"
"BNA","CVG","692","3793","3680","107"
"BNA","DCA","636","2652","1124","73"
"BNA","DEN","727","9805","8587","162"
"BNA","DFW","3994","8833","15268","479"
"BNA","DTW","3525","13567","21096","445"
"BNA","EWR","637","1086","5337","100"
"BNA","FLL","366","2540","4338","69"
"BNA","HOU","2356","24785","34374","517"
"BNA","IAH","1039","1157","3783","112"
"BNA","ISP","803","556","4801","78"
"BNA","JAX","1094","13749","15239","244"
"BNA","LAS","1085","5699","10799","214"
"BNA","LAX","1765","-1777","13546","251"
"BNA","LGA","993","19224","12036","349"
"BNA","MCI","1395","12865","17513","280"
"BNA","MCO","2496","16241","24142","405"
"BNA","MDW","3109","34360","34594","685"
"BNA","MEM","1037","908","2605","90"
"BNA","MHT","388","6891","8230","135"
"BNA","MIA","366","-687","385","27"
"BNA","MSP","1254","-356","4505","137"
"BNA","MSY","1061","11649","13673","244"
"BNA","OAK","366","3769","6862","110"
"BNA","ONT","295","-1340","1874","31"
"BNA","ORD","2725","36691","30609","660"
"BNA","PHL","1080","16510","10710","310"
"BNA","PHX","1025","3775","12437","172"
"BNA","PIT","1448","6063","4596","208"
"BNA","PVD","705","3093","6007","93"
"BNA","RDU","1798","25866","26200","514"
"BNA","SAN","386","5079","7753","130"
"BNA","SAT","366","11734","13046","169"
"BNA","SDF","358","196","123","28"
"BNA","SEA","365","-2095","1657","41"
"BNA","STL","2051","7497","7208","259"
"BNA","TPA","1456","10412","16712","264"
"BOI","DEN","1298","14556","12963","268"
"BOI","GEG","1036","13264","13458","259"
"BOI","LAS","732","5761","8998","154"
"BOI","MSP","818","1495","5669","116"
"BOI","OAK","366","2352","4049","62"
"BOI","ORD","456","11852","10788","149"
"BOI","PDX","1094","12139","13485","274"
"BOI","PHX","775","-1613","3255","71"
"BOI","RNO","1047","7852","10106","167"
"BOI","SEA","1059","7692","9805","190"
"BOI","SFO","1449","32509","32661","500"
"BOI","SLC","2437","16779","16789","326"
"BOS","ATL","5441","61548","68464","1366"
"BOS","BDL","2","140","80","2"
