"iata","name","latitude","longitude","totalflights","numberofdelays","delaypercentage","carrierdelay","weatherdelay","nasdelay","securitydelay","lateaircraftdelay"
"ABE","Lehigh Valley International","40.65236278","-75.44040167","4807","867","18","17334","4422","24870","20","14608"
"ABI","Abilene Regional","32.41132","-99.68189722","2660","293","11","13045","4200","4585","0","4314"
"ABQ","Albuquerque International","35.04022222","-106.6091944","41146","6703","16","72554","9027","64768","63","204432"
"ABY","Southwest Georgia Regional","31.535515","-84.19447333","1095","224","20","5581","2242","4509","21","2292"
"ACK","Nantucket Memorial","41.25305194","-70.06018139","457","157","34","3088","1226","5312","0","3943"
"ACT","Waco Regional","31.61128833","-97.23051917","1993","246","12","2902","2650","2151","0","6854"
"ACV","Arcata","40.97811528","-124.1086189","3714","888","23","10311","2342","35724","9","19018"
"ACY","Atlantic City International","39.45758333","-74.57716667","116","14","12","1063","0","930","0","0"
"ADK","Adak","51.87796389","-176.6460306","102","22","21","152","0","51","0","820"
"ADQ","Kodiak ","57.74996778","-152.4938553","706","120","16","1080","148","426","276","4058"
"AEX","Alexandria International","31.32737167","-92.54855611","2330","467","20","10755","5293","10528","82","5473"
"AGS","Bush ","33.369955","-81.96449611","2403","554","23","11770","5020","14294","40","5699"
"AKN","King Salmon","58.67680167","-156.6492175","116","53","45","681","0","162","88","1491"
"ALB","Albany Cty","42.74811944","-73.80297861","13474","2729","20","38135","12020","65729","54","55429"
"ALO","Waterloo Municipal","42.55708139","-92.40034361","323","27","8","2201","0","296","0","132"
"AMA","Amarillo International","35.2193725","-101.7059272","7496","1140","15","11409","7896","9038","26","39961"
"ANC","Ted Stevens Anchorage International","61.17432028","-149.9961856","19327","3332","17","65329","8197","28231","370","61199"
"ASE","Aspen-Pitkin Co/Sardy ","39.22316","-106.868845","5307","1226","23","16678","16262","17691","802","29776"
"ATL","William B Hartsfield-Atlanta Intl","33.64044444","-84.42694444","414513","100706","24","1905172","426651","1550494","2096","1654864"
"ATW","Outagamie County Regional","44.25740806","-88.51947556","5873","1194","20","21763","7465","31647","58","22201"
"AUS","Austin-Bergstrom International","30.19453278","-97.66987194","49623","8571","17","108018","16729","143296","340","199975"
"AVL","Asheville Regional","35.43619444","-82.54180556","4399","866","19","15236","4059","25386","23","14758"
"AVP","Wilkes-Barre/Scranton Intl","41.33814944","-75.7242675","2386","527","22","13020","2971","14136","71","9126"
"AZO","Kalamazoo County","42.234875","-85.5520575","3924","730","18","11083","1499","23452","35","16615"
"BDL","Bradley International","41.93887417","-72.68322833","29449","5663","19","78183","23457","129413","349","110398"
"BET","Bethel","60.77977639","-161.8379975","1035","201","19","1490","470","402","86","7549"
"BFL","Meadows ","35.43359806","-119.0567681","4502","529","11","8247","1155","11400","50","10133"
