iata,name,long,lat,totalflights,numberofdelays,delaypercentage,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,betweenness,outdegree,indegree
ABE,Lehigh Valley International,40.65236278,-75.44040167,4807.0,867.0,18.0,17334.0,4422.0,24870.0,20.0,14608.0,0.0,0.029801324503311258,0.019867549668874173
ABI,Abilene Regional,32.41132,-99.68189722,2660.0,293.0,11.0,13045.0,4200.0,4585.0,0.0,4314.0,0.0,0.0033112582781456954,0.0033112582781456954
ABQ,Albuquerque International,35.04022222,-106.6091944,41146.0,6703.0,16.0,72554.0,9027.0,64768.0,63.0,204432.0,0.002552799504367757,0.12582781456953643,0.1291390728476821
ABY,Southwest Georgia Regional,31.535515000000004,-84.19447333,1095.0,224.0,20.0,5581.0,2242.0,4509.0,21.0,2292.0,0.0,0.0033112582781456954,0.0033112582781456954
ACK,Nantucket Memorial,41.25305194,-70.06018139,457.0,157.0,34.0,3088.0,1226.0,5312.0,0.0,3943.0,3.6980285592219693e-07,0.006622516556291391,0.009933774834437087
ACT,Waco Regional,31.61128833,-97.23051917,1993.0,246.0,12.0,2902.0,2650.0,2151.0,0.0,6854.0,0.0,0.0033112582781456954,0.0033112582781456954
ACV,Arcata,40.97811528,-124.1086189,3714.0,888.0,23.0,10311.0,2342.0,35724.0,9.0,19018.0,0.00026901619511147126,0.013245033112582781,0.013245033112582781
ACY,Atlantic City International,39.45758333,-74.57716667,116.0,14.0,12.0,1063.0,0.0,930.0,0.0,0.0,0.0,0.006622516556291391,0.0033112582781456954
ADK,Adak,51.87796389,-176.6460306,102.0,22.0,21.0,152.0,0.0,51.0,0.0,820.0,0.0,0.0033112582781456954,0.0033112582781456954
ADQ,Kodiak ,57.74996778,-152.4938553,706.0,120.0,16.0,1080.0,148.0,426.0,276.0,4058.0,0.0,0.0033112582781456954,0.0033112582781456954
AEX,Alexandria International,31.32737167,-92.54855611,2330.0,467.0,20.0,10755.0,5293.0,10528.0,82.0,5473.0,0.0,0.009933774834437087,0.009933774834437087
