origin,originlat,originlong,destination,destinationlat,destinationlong,weight,arrivaldelaymins,numofdelays,delaypercentage
ABE,40.65236278,-75.44040167,ATL,33.64044444,-84.42694444,853,9643,183,21
ABE,40.65236278,-75.44040167,CLE,41.41089417,-81.84939667,805,672,87,10
ABE,40.65236278,-75.44040167,CLT,35.21401111,-80.94312583,465,-1333,53,11
ABE,40.65236278,-75.44040167,CVG,39.04614278,-84.6621725,247,-1092,16,6
ABE,40.65236278,-75.44040167,DTW,42.21205889,-83.34883583,997,5168,152,15
ABE,40.65236278,-75.44040167,JFK,40.63975111,-73.77892556,3,73,3,100
ABE,40.65236278,-75.44040167,LGA,40.77724306,-73.87260917,9,962,8,88
ABE,40.65236278,-75.44040167,ORD,41.979595,-87.90446417,1425,21810,364,25
ABE,40.65236278,-75.44040167,PHL,39.87195278,-75.24114083,2,34,1,50
ABI,32.41132,-99.68189722,DFW,32.89595056,-97.0372,2660,13168,293,11
ABQ,35.04022222,-106.6091944,AMA,35.2193725,-101.7059272,368,4549,103,27
ABQ,35.04022222,-106.6091944,ATL,33.64044444,-84.42694444,1067,2029,129,12
ABQ,35.04022222,-106.6091944,AUS,30.19453278,-97.66987194,433,1364,69,15
ABQ,35.04022222,-106.6091944,BWI,39.17540167,-76.66819833,546,376,72,13
ABQ,35.04022222,-106.6091944,CLE,41.41089417,-81.84939667,12,-79,1,8
ABQ,35.04022222,-106.6091944,CVG,39.04614278,-84.6621725,260,3,32,12
ABQ,35.04022222,-106.6091944,DAL,32.84711389,-96.85177222,3078,12253,469,15
ABQ,35.04022222,-106.6091944,DEN,39.85840806,-104.6670019,4318,10932,596,13
ABQ,35.04022222,-106.6091944,DFW,32.89595056,-97.0372,2888,17734,458,15
ABQ,35.04022222,-106.6091944,ELP,31.80666667,-106.3778056,799,7255,154,19
ABQ,35.04022222,-106.6091944,EWR,40.69249722,-74.16866056,167,-260,28,16
ABQ,35.04022222,-106.6091944,HOU,29.64541861,-95.27888889,1011,3462,158,15
ABQ,35.04022222,-106.6091944,IAD,38.94453194,-77.45580972,365,-1257,43,11
ABQ,35.04022222,-106.6091944,IAH,29.98047222,-95.33972222,2261,17042,381,16
ABQ,35.04022222,-106.6091944,LAS,36.08036111,-115.1523333,2402,15706,435,18
ABQ,35.04022222,-106.6091944,LAX,33.94253611,-118.4080744,2395,21885,568,23
ABQ,35.04022222,-106.6091944,LBB,33.66363889,-101.8227778,366,1305,55,15
ABQ,35.04022222,-106.6091944,MAF,31.94252778,-102.2019139,367,5286,111,30
ABQ,35.04022222,-106.6091944,MCI,39.29760528,-94.71390556,670,2038,109,16
ABQ,35.04022222,-106.6091944,MCO,28.42888889,-81.31602778,730,-1586,81,11
ABQ,35.04022222,-106.6091944,MDW,41.7859825,-87.75242444,730,-1014,66,9
ABQ,35.04022222,-106.6091944,MSP,44.88054694,-93.2169225,677,1216,93,13
